GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
appWebBurofy,com.burofy.appWebBurofy.exception,MailAlreadyExistsException,4,0,0,0,2,0,1,0,1,0
appWebBurofy,com.burofy.appWebBurofy.exception,Exception,3,0,0,0,1,0,1,0,1,0
appWebBurofy,com.burofy.appWebBurofy.utility,Response,189,0,30,0,6,0,28,0,13,0
appWebBurofy,com.burofy.appWebBurofy.utility,Pagination,25,0,0,0,5,0,2,0,2,0
appWebBurofy,com.burofy.appWebBurofy.utility,Response.ResponseBuilder,43,0,0,0,1,0,5,0,5,0
appWebBurofy,com.burofy.appWebBurofy.utility,Response.ResponseBuilderImpl,7,0,0,0,1,0,2,0,2,0
appWebBurofy,com.burofy.appWebBurofy.entity,Payment,28,18,0,0,5,2,8,2,8,2
appWebBurofy,com.burofy.appWebBurofy.entity,Consultation,0,86,0,0,0,11,0,18,0,18
appWebBurofy,com.burofy.appWebBurofy.entity,Person,86,0,0,0,11,0,18,0,18,0
appWebBurofy,com.burofy.appWebBurofy.entity,Schedule,3,0,0,0,1,0,1,0,1,0
appWebBurofy,com.burofy.appWebBurofy.entity,Client,18,88,0,0,2,11,5,17,5,17
appWebBurofy,com.burofy.appWebBurofy.entity,Professional,30,156,0,0,2,19,8,30,8,30
appWebBurofy,com.burofy.appWebBurofy.config,SwaggerConfig,0,34,0,0,0,9,0,3,0,3
appWebBurofy,com.burofy.appWebBurofy.dto,ProfessionalDTO.ProfessionalDTOBuilder,47,51,0,0,0,1,2,8,2,8
appWebBurofy,com.burofy.appWebBurofy.dto,ProfessionalDTO,52,28,0,0,9,2,15,2,15,2
appWebBurofy,com.burofy.appWebBurofy.dto,ConsultationDTO.ConsultationDTOBuilder,52,58,0,0,0,1,2,9,2,9
appWebBurofy,com.burofy.appWebBurofy.dto,ClientDTO.ClientDTOBuilder,62,0,0,0,1,0,7,0,7,0
appWebBurofy,com.burofy.appWebBurofy.dto,ClientDTO,13,37,0,0,4,4,4,7,4,7
appWebBurofy,com.burofy.appWebBurofy.dto,ConsultationDTO,59,31,0,0,10,2,17,2,17,2
appWebBurofy,com.burofy.appWebBurofy.controller,PersonRestController,38,10,6,0,8,2,5,2,2,2
appWebBurofy,com.burofy.appWebBurofy.controller,ConsultationRestController,72,10,6,0,18,2,9,2,6,2
appWebBurofy,com.burofy.appWebBurofy.controller,ProfessionalRestController,150,10,14,0,31,2,14,2,7,2
appWebBurofy,com.burofy.appWebBurofy.controller,ClientRestController,59,10,4,0,14,2,7,2,5,2
appWebBurofy,com.burofy.appWebBurofy.service.impl,PersonServiceImpl,124,12,8,0,28,1,6,1,2,1
appWebBurofy,com.burofy.appWebBurofy.service.impl,ProfessionalServiceImpl,99,116,5,3,24,27,8,5,4,5
appWebBurofy,com.burofy.appWebBurofy.service.impl,ClientServiceImpl,55,119,5,3,15,27,5,5,1,5
appWebBurofy,com.burofy.appWebBurofy.service.impl,ConsultationServiceImpl,83,168,5,5,25,46,5,7,1,6
appWebBurofy,com.burofy.appWebBurofy,ResponseBuilder,56,0,4,0,10,0,5,0,3,0
appWebBurofy,com.burofy.appWebBurofy,DetailError,26,0,0,0,7,0,5,0,5,0
appWebBurofy,com.burofy.appWebBurofy,AppWebBurofyApplication,6,3,0,0,2,1,1,1,1,1
appWebBurofy,com.burofy.appWebBurofy,Constants,7,0,0,0,2,0,1,0,1,0
